Name,Brand,SKU,MPN,base_price,MSRP,Image
"Garland UN17R60 60""W Four Drawer Polar Cuisine Refrigerated Base",Garland,UN17R60,UN17R60,15381.00,,
"Vulcan VSC48 48"" W Stainless Steel Self-Contained Refrigerated Base - 115 Volts",Vulcan,VSC48,VSC48,17091.00,,
"Montague RB-60-SC-G 60""W Two Drawer Legend Heavy Duty Glycol Refrigerated Equipment Base/Stand",Montague,RB-60-SC-G,RB-60-SC-G,18635.44,,
"Garland GN17R34 34""W Two Drawer Arctic Fire Refrigerator Base",Garland,GN17R34,GN17R34,11888.00,,
"SABA SCB-72 72.38"" W Stainless Steel 4 Drawers Chef Base Drawer Refrigerator - 115 Volts",SABA,SCB-72,SCB-72,4576.01,,
"Beverage Air WTRCS112HC 112""W Six Drawer Worktop Cook Stand Refrigerator",Beverage Air,WTRCS112HC,WTRCS112HC,11658.14,,
Kelvinator KCHCB48R 2 Drawers Stainless Steel Refrigerated Chef Base,Kelvinator,KCHCB48R,KCHCB48R,3126.25,,
"Southbend 20096SB 96""W Two Drawer Refrigerator Base",Southbend,20096SB,20096SB,18900.00,,
"Atosa MGF8454GR 76"" W 4 Drawers Refrigerated Chef Base with Extended Top - 115 Volts","Atosa USA, Inc.",MGF8454GR,MGF8454GR,3692.00,,
Beverage Air WTCTCS60HC 8.7 Cu. Ft. Stainless Steel 1-Section Cross Temp Chef Base - 115 Volts,Beverage Air,WTCTCS60HC,WTCTCS60HC,7756.87,,
Continental Refrigerator D36GN One-Section Two Drawer Refrigerator Griddle Stand,Continental Refrigerator,D36GN,D36GN,6248.34,,
"Randell RES1L3-105C4 105"" W Stainless Steel Exterior Three Sections Refrigerated Counter and Equipment Stand - 115 Volts",Randell,RES1L3-105C4,RES1L3-105C4,16209.50,,
"Garland GN17R102 102""W Six Drawer Arctic Fire Refrigerator Base",Garland,GN17R102,GN17R102,18779.00,,
"Hoshizaki CR60A 60.5""W Two Drawer Steelheart Series Refrigerated Equipment Stand",Hoshizaki,CR60A,CR60A,8297.59,,
"Montague RB-72-R 72""W Four Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-72-R,RB-72-R,14348.56,,
"Montague FB-72-SC 72""W Two Drawer Legend Heavy Duty Extreme Cuisine Freezer Equipment Base/Stand",Montague,FB-72-SC,FB-72-SC,17570.25,,
"Garland UN17FR48 48""W Two Drawer Polar Cuisine Freezer Base",Garland,UN17FR48,UN17FR48,14550.00,,
"Vulcan VSC72 72"" W Stainless Steel Self-Contained Refrigerated Base - 115 Volts",Vulcan,VSC72,VSC72,20009.00,,
"Southbend 20064SB 64""W Two Drawer Refrigerator Base",Southbend,20064SB,20064SB,15750.00,,
"Southbend 30084SB 84""W Four Drawer Freezer Base",Southbend,30084SB,30084SB,17556.75,,
"Montague RB-36-R 36""W Two Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-36-R,RB-36-R,11362.00,,
"Garland GN17FR68 68""W Four Drawer Arctic Fire Freezer Base",Garland,GN17FR68,GN17FR68,16401.00,,
"Southbend 20048SB 48""W Two Drawer Refrigerator Base",Southbend,20048SB,20048SB,13180.50,,
"Garland GN17FR63 63""W Four Drawer Arctic Fire Freezer Base",Garland,GN17FR63,GN17FR63,15939.00,,
Randell LPRES1L2-72C4 72” W Two-Section Stainless Steel Refrigerated Counter or Equipment Stand – 115 Volts,Randell,LPRES1L2-72C4,LPRES1L2-72C4,12546.50,,
"Garland UN17FC54 54""W Two Drawer Polar Cuisine Freezer Base",Garland,UN17FC54,UN17FC54,16907.00,,
"Jade JRLH-02S-B-36 36"" W 2 Drawers Bistro Fire & Ice Refrigerated Base",Jade,JRLH-02S-B-36,JRLH-02S-B-36,11880.00,,
"Vulcan ARS36 36"" W Stainless Steel Self-Contained Achiever Refrigerated Base - 115 Volts",Vulcan,ARS36,ARS36,15406.00,,
"Garland GN17FR53 53""W Four Drawer Arctic Fire Freezer Base",Garland,GN17FR53,GN17FR53,14498.00,,
"Koolmore KM-BR-482D 48.3"" W Stainless Steel Commercial Chef Base Refrigerator Storage Cabinet",,KM-BR-482D,KM-BR-482D,,,
"Montague FB-108-R 108""W Six Drawer Legend Heavy Duty Extreme Cuisine Freezer Equipment Base/Stand",Montague,FB-108-R,FB-108-R,18840.88,,
"Garland GN17R46 46""W Two Drawer Arctic Fire Refrigerator Base",Garland,GN17R46,GN17R46,13088.00,,
"Montague RB-72-SC-G 72""W Two Drawer Legend Heavy Duty Glycol Refrigerated Equipment Base/Stand",Montague,RB-72-SC-G,RB-72-SC-G,19210.19,,
Randell LPRES1L1-38C4 38” W One-Section Stainless Steel Refrigerated Counter or Equipment Stand – 115 Volts,Randell,LPRES1L1-38C4,LPRES1L1-38C4,10296.00,,
"Garland GN17C85 85""W Four Drawer Arctic Fire Refrigerator Base",Garland,GN17C85,GN17C85,18306.00,,
"Asber ACBR-52 53"" W Two Drawer Chef Base Refrigerated Equipment Stand",Asber,ACBR-52,ACBR-52,2725.65,,
"U-Line UCFB572-SS61A 72"" W 4 Drawers U-Line Commercial Freezer Base - 115 Volts",U-Line,UCFB572-SS61A,UCFB572-SS61A,9747.83,,
